customer_id,last_order_date,frequency,monetary,recency,future_orders,future_sales,churn
AA-10315,2026-06-29,5,5563.56,4,0.0,0.0,1
AA-10375,2025-11-14,7,849.658,231,2.0,206.732,0
AA-10480,2026-04-15,4,1790.512,79,0.0,0.0,1
AA-10645,2025-09-04,5,5073.975,302,1.0,12.96,0
AB-10015,2025-11-10,3,886.156,235,0.0,0.0,1
AB-10060,2026-05-07,5,4899.3460000000005,57,3.0,2856.274,0
AB-10105,2026-06-05,7,12997.607,28,3.0,1475.964,0
AB-10150,2025-01-31,3,736.054,518,2.0,230.656,0
AB-10165,2026-04-14,7,1004.2860000000001,80,3.0,210.73600000000002,0
AB-10255,2026-06-16,8,434.548,17,1.0,479.984,0
AB-10600,2024-11-30,3,40.808,580,1.0,1475.054,0
AC-10420,2026-05-12,3,925.8000000000001,52,0.0,0.0,1
AC-10450,2025-11-24,5,2068.246,221,2.0,3459.6,0
AC-10615,2026-03-24,3,243.88799999999998,101,2.0,2293.7980000000002,0
AC-10660,2026-03-23,5,657.316,102,0.0,0.0,1
AD-10180,2026-04-30,6,5026.33,64,2.0,1080.5500000000002,0
AF-10870,2026-04-24,5,1772.5220000000002,70,2.0,280.38599999999997,0
AF-10885,2025-11-10,4,861.565,235,0.0,0.0,1
AG-10270,2026-03-27,8,2682.7059999999997,98,1.0,37.68,0
AG-10300,2025-12-05,3,361.588,210,1.0,5.96,0
AG-10330,2025-08-03,1,248.82,334,4.0,412.15200000000004,0
AG-10390,2025-12-01,4,181.185,214,1.0,19.76,0
AG-10495,2025-10-20,7,2242.4790000000003,256,1.0,114.376,0
AG-10525,2024-09-07,4,1455.038,664,0.0,0.0,1
AG-10675,2026-06-09,4,3335.3436,24,3.0,153.696,0
AG-10765,2024-11-09,3,129.732,601,1.0,40.852,0
AG-10900,2026-05-01,8,4224.847,63,2.0,285.95,0
AH-10030,2025-03-20,6,1725.996,470,1.0,18.704,0
AH-10075,2026-05-19,7,1868.026,45,3.0,1382.311,0
AH-10120,2026-07-02,5,1529.176,1,2.0,206.338,0
AH-10195,2025-12-18,2,1543.0059999999999,197,2.0,44.446,0
AH-10210,2026-03-08,5,1679.264,117,4.0,3126.08,0
AH-10465,2026-05-14,5,2495.3916,50,0.0,0.0,1
AH-10585,2025-09-15,2,483.28,291,2.0,255.22400000000002,0
AH-10690,2025-11-15,12,7888.294,230,0.0,0.0,1
AI-10855,2026-05-05,7,3800.832,59,3.0,574.954,0
AJ-10780,2026-05-14,6,4559.567999999999,50,1.0,307.776,0
AJ-10795,2025-12-26,6,3206.366,189,1.0,1295.0249999999999,0
AJ-10945,2025-11-18,5,1191.1660000000002,227,2.0,648.0740000000001,0
AJ-10960,2023-12-30,2,618.608,916,1.0,10.64,0
AM-10360,2026-05-28,4,635.122,36,1.0,178.89,0
AM-10705,2026-06-25,7,4712.042,8,1.0,951.98,0
AO-10810,2025-08-16,1,161.28,321,0.0,0.0,1
AP-10720,2025-12-06,7,1500.172,209,1.0,138.382,0
AP-10915,2026-04-27,8,3070.536,67,2.0,253.02000000000007,0
AR-10345,2024-09-10,3,970.4939999999999,661,3.0,102.86,0
AR-10405,2026-06-19,4,747.704,14,1.0,1488.4239999999998,0
AR-10510,2025-12-26,4,254.06400000000002,189,1.0,10.8,0
AR-10540,2026-01-16,5,6590.568,168,1.0,17.880000000000003,0
AR-10570,2025-07-14,1,88.15,354,0.0,0.0,1
AR-10825,2025-12-11,5,2147.988,204,3.0,2375.3480000000004,0
AS-10045,2026-01-02,4,1315.06,182,3.0,1735.632,0
AS-10090,2026-04-01,7,2536.55,93,2.0,718.7600000000001,0
AS-10135,2025-11-13,1,4.18,232,1.0,54.64,0
AS-10225,2025-12-02,3,2409.2,213,2.0,1851.584,0
AS-10240,2026-06-21,7,584.6080000000001,12,0.0,0.0,1
AS-10285,2025-11-11,5,3097.924,234,1.0,116.312,0
AS-10630,2026-04-30,6,460.95200000000006,64,1.0,372.446,0
AT-10435,2026-04-02,5,75.32600000000001,92,1.0,1096.488,0
AT-10735,2026-05-19,7,3414.044,45,3.0,417.82,0
AW-10840,2024-11-29,2,43.144,581,2.0,606.2320000000001,0
AW-10930,2025-11-18,5,2141.608,227,2.0,711.36,0
AY-10555,2025-12-18,3,274.98199999999997,197,1.0,222.032,0
AZ-10750,2025-02-05,5,1500.482,513,1.0,121.536,0
BB-10990,2026-06-01,4,729.54,32,1.0,14.8,0
BB-11545,2025-12-26,5,2179.468,189,4.0,4586.26,0
BC-11125,2026-06-11,9,2933.6760000000004,22,0.0,0.0,1
BD-11320,2026-06-10,10,5290.233,23,2.0,428.288,0
