order_year,order_month,sales,month_label
2023,1,14518.055,2023-01
2023,2,4519.892,2023-02
2023,3,56933.909,2023-03
2023,4,28295.345,2023-04
2023,5,26319.767,2023-05
2023,6,34669.4796,2023-06
2023,7,33946.393,2023-07
2023,8,28918.3385,2023-08
2023,9,82670.4288,2023-09
2023,10,32413.339,2023-10
2023,11,78826.9567,2023-11
2023,12,72008.3085,2023-12
2024,1,18461.9156,2024-01
2024,2,11951.411,2024-02
2024,3,39978.628,2024-03
2024,4,34195.2085,2024-04
2024,5,30246.946500000002,2024-05
2024,6,24797.292,2024-06
2024,7,28765.325,2024-07
2024,8,37057.0042,2024-08
2024,9,64627.046,2024-09
2024,10,31407.1335,2024-10
2024,11,75972.5635,2024-11
2024,12,75532.5572,2024-12
2025,1,18830.331000000002,2025-01
2025,2,22978.815000000002,2025-02
2025,3,53031.069,2025-03
2025,4,38829.159,2025-04
2025,5,57042.837999999996,2025-05
2025,6,40937.148,2025-06
2025,7,40300.499,2025-07
2025,8,31716.814300000002,2025-08
2025,9,73521.6629,2025-09
2025,10,59831.001,2025-10
2025,11,79411.9658,2025-11
2025,12,97502.277,2025-12
2026,1,44259.214,2026-01
2026,2,20301.1334,2026-02
2026,3,60728.4808,2026-03
2026,4,36779.036100000005,2026-04
2026,5,45155.4822,2026-05
2026,6,53056.0777,2026-06
2026,7,45989.496,2026-07
2026,8,64129.758,2026-08
2026,9,88064.532,2026-09
2026,10,83474.7832,2026-10
2026,11,118454.505,2026-11
2026,12,85175.0328,2026-12
